PWSName,RegistryID,PWSId,CitiesServed,StateCode,CountiesServed,PWSTypeCode,PrimarySourceCode,PopulationServedCount,QtrsWithVio,SeriousViolator,HealthFlag,RulesVio3yr,Viopaccr,Vioremain,Ifea,Feas,SDWAContaminantsInViol3yr,PbAle,CuAle,DFR URL,cons_demo.COUNTY,cons_demo.ACSTOTPOP,cons_demo.ACSIPOVBAS,cons_demo.25ABOVE,cons_demo.PCT_25ABOVE,cons_demo.PEOPCOLOR,cons_demo.PCT_PEOPCOLOR,cons_demo.LOWINCOME,cons_demo.PCT_LOWINCOME,cons_demo.LESSHS,cons_demo.PCT_LESSHS,cons_demo.LINGISO,cons_demo.PCT_LINGISO,cons_demo.UNDER5,cons_demo.PCT_UNDER5,cons_demo.OVER64,cons_demo.PCT_OVER64,cons_demo.AREALAND,cons_demo.AREAWATER
1ST ENCOUNTER CLUB,110050963999,AL0000330,,AL,Choctaw,TNCWS,GW,30,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000330&sys=SDWIS,Choctaw,12792,12603,9281,0.725531582,5571,0.435506567,5241,0.415853368,1802,0.140869293,0,1.10123E-05,700,0.054721701,2916,0.227954972,2365900081,19114321
231 BAR-B-QUE,110051017396,AL0000444,,AL,Dale,TNCWS,GW,100,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000444&sys=SDWIS,Dale,49443,47886,33606,0.679691766,16121,0.326052222,18976,0.396274485,5093,0.103007504,256,2.08336E-06,3210,0.064923245,8406,0.170013955,1453276164,4051341
231 TRUCK STOP,110051017449,AL0000449,,AL,Dale,TNCWS,GW,100,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000449&sys=SDWIS,Dale,49443,47886,33606,0.679691766,16121,0.326052222,18976,0.396274485,5093,0.103007504,256,2.08336E-06,3210,0.064923245,8406,0.170013955,1453276164,4051341
ALABAMA DOT/I-10 AL/FL WELCOME CENTER,110051019232,AL0000004,BAY MINETTE,AL,Baldwin,TNCWS,GW,350,5,No,No,1,10,0,2,,1040=Nitrate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000004&sys=SDWIS,Baldwin,227131,223772,161977,0.713143516,39583,0.174273877,57840,0.258477379,14555,0.064081962,730,2.82137E-07,12035,0.052987043,46805,0.206070506,4117656514,1132955729
ALABAMA GULF UTILITIES,110047703730,AL0000024,,AL,Baldwin,CWS,GW,3300,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000024&sys=SDWIS,Baldwin,227131,223772,161977,0.713143516,39583,0.174273877,57840,0.258477379,14555,0.064081962,730,2.82137E-07,12035,0.052987043,46805,0.206070506,4117656514,1132955729
ALABAMA SHERIFFS BOYS RANCH,110050931603,AL0000018,,AL,Baldwin,TNCWS,GW,32,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000018&sys=SDWIS,Baldwin,227131,223772,161977,0.713143516,39583,0.174273877,57840,0.258477379,14555,0.064081962,730,2.82137E-07,12035,0.052987043,46805,0.206070506,4117656514,1132955729
331 CAFE,110050925371,AL0000401,,AL,Covington,TNCWS,GW,30,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000401&sys=SDWIS,Covington,37490,36814,26421,0.704747933,6430,0.171512403,14985,0.407046232,3915,0.104427847,0,2.78549E-06,2120,0.056548413,7845,0.209255802,2669165738,34194671
82 SNACK BAR,110050939302,AL0000222,,AL,Chilton,TNCWS,GW,35,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000222&sys=SDWIS,Chilton,44857,44200,30534,0.680696435,9300,0.207325501,17084,0.386515837,5569,0.124150077,417,2.76769E-06,2710,0.060414205,7372,0.164344472,1794438835,20592116
A & G DAIRY BARN,110050963070,AL0000291,DELTA,AL,Cleburne,TNCWS,GW,100,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000291&sys=SDWIS,Cleburne,15046,14888,10559,0.701781204,1144,0.076033497,5552,0.372917786,1789,0.118902034,35,7.90257E-06,865,0.057490363,2888,0.191944703,1450666453,2352217
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,,2005=Endrin,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2010=BHC-GAMMA,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2015=Methoxychlor,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2020=Toxaphene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2031=Dalapon,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2032=Diquat,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2033=Endothall,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2034=Glyphosate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2035=Di(2-ethylhexyl) adipate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2036=OXAMYL,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2037=Simazine,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2039=Di(2-ethylhexyl) phthalate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2040=Picloram,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2041=Dinoseb,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
